Time(ms),WT_avg_1050,WT+sem_1050,WT-sem_1050,P_avg_1050,P+sem_1050,P-sem_1050,EPN_avg_1050,EPN+sem_1050,EPN-sem_1050,Time_ms,WT_avg_10ms,WT+sem_10ms,WT-sem_10ms,P_avg_10ms,P+sem_10ms,P-sem_10ms,EPN_avg_10ms,EPN+sem_10ms,EPN-sem_10ms,Time_ms,WT_avg_dVdt,WT+sem_dVdt,WT-sem_dVdt,P_avg_dVdt,P+sem_dVdt,P-sem_dVdt,EPN_avg_dVdt,EPN+sem_dVdt,EPN-sem_dVdt,WT_RMP_mV,P_RMP_mV,EPN_RMP_mV,WT_Overshoot_mV,P_Overshoot_mV,EPN_Overshoot_mV,WT_Amplitude_mV,P_Amplitude_mV,EPN_Amplitude_mV,WT_APD_10-50_ms,P_APD_10-50_ms,EPN_APD_10-50_ms,WT_dVdtmax_V_per_s,P_dVdtmax_V_per_s,EPN_dVdtmax_V_per_s,WT_dVdtmin_V_per_s,P_dVdtmin_V_per_s,EPN_dVdtmin_V_per_s,WT_refractory_period,P_refractory_period,EPN_refractory_period
0,-61.84299045,-59.44635132,-64.23962959,-63.2065862,-61.33874149,-65.07443092,-65.69015617,-62.9780012,-68.40231114,0,-71.30877855,-68.98511261,-73.6324445,-73.50564109,-71.23502888,-75.7762533,-72.68440399,-69.64675248,-75.7220555,0,-1.819562382,-0.664110367,-2.975014397,7.651698457,9.557804296,5.745592618,5.4518794,9.795454715,1.108304085,-79.6,-77.2,-53,8.141,21.1,22.4,87.741,72.3,75.4,1.642,1.75,1.82,195.7,166.8,126.1,-97,-105.2,-74.3,3.17,1.698,6.1
0.02,-60.01193576,-57.52934659,-62.49452494,-61.71461572,-59.92765851,-63.50157293,-64.74411125,-61.93586713,-67.55235537,0.02,-71.24096171,-68.99395224,-73.48797118,-73.20046531,-70.95582923,-75.44510139,-72.74543915,-69.57923201,-75.91164628,0.02,-1.282929573,0.001082943,-2.566942089,7.310855945,10.27073585,4.350976036,6.017461491,10.98314886,1.051774119,-65,-77.6,-81.8,40,31,32.7,105,63.5,114.5,1.54,1.15,1.86,266.9,375.3,294.5,-94.9,-129.9,-74.2,4.166,4.665,2.185
0.04,-59.13031684,-56.66862388,-61.5920098,-60.39218733,-58.76375025,-62.02062441,-63.61496124,-60.88134604,-66.34857644,0.04,-71.34268655,-69.16870808,-73.51666502,-73.67518277,-71.540354,-75.81001154,-72.68440399,-69.40440749,-75.96440049,0.04,0.332665091,2.597709477,-1.932379295,5.324660977,8.22647124,2.422850714,5.9492522,12.49573772,-0.59723332,-80.3,-64.6,-77.2,4.3,21,21.1,84.6,82.4,98.3,1.562,1.09,3.35,162.3,223.5,137.9,-78.5,-127.9,-56.3,1.744,1.325,0.906
0.06,-57.40098741,-54.86742995,-59.93454488,-58.79849158,-57.25219518,-60.34478799,-62.45529327,-59.83120901,-65.07937754,0.06,-71.17314487,-68.78374153,-73.56254821,-73.47173225,-71.28911328,-75.65435122,-72.40974579,-69.15112806,-75.66836352,0.06,1.507539855,3.703865962,-0.688786252,4.204213937,7.310457684,1.097970191,7.191317487,12.20922173,2.173413241,-67.9,-67.4,-79.6,34.7,29.3,20.2,102.6,96.7,99.8,1.302,1.415,1.61,266.7,253.8,275.4,-105.2,-100.2,-82.5,4.291,1.245,5.118
0.08,-55.40039105,-52.61582708,-58.18495501,-56.73007838,-55.38224884,-58.07790792,-60.83786163,-58.22709508,-63.44862818,0.08,-71.13923603,-68.86381977,-73.41465228,-73.20046488,-70.89311084,-75.50781892,-72.2571579,-69.02696608,-75.48734972,0.08,2.170542452,3.679343008,0.661741896,3.068226099,6.808636344,-0.672184146,6.616793442,9.824958057,3.408628826,-72.8,-69.3,-69.8,25.8,25.9,17.2,98.6,95.2,87,1.279,1.608,1.7,252.4,189.8,205.9,-87.4,-82.9,-90.7,2.027,6.521,1.393
0.1,-53.70497004,-50.94073315,-56.46920694,-54.15303845,-52.76581967,-55.54025723,-58.64059639,-55.88579131,-61.39540147,0.1,-71.07141961,-68.79180794,-73.35103128,-73.26828172,-71.11029366,-75.42626979,-72.04353485,-68.63309186,-75.45397784,0.1,2.913576143,4.066785593,1.760366692,2.299720791,6.392364628,-1.792923047,3.800287233,7.238494605,0.36207986,-78.9,-71.5,-79.8,25.2,35,37.6,104.1,106.5,117.4,1.528,1.574,0.93,215.2,240.5,386.1,-100.8,-94.6,-145.2,3.668,7.688,1.698
0.12,-51.06011285,-48.03092948,-54.08929621,-52.0507164,-50.40140364,-53.70002916,-56.80954132,-54.20774455,-59.41133809,0.12,-71.17314487,-68.83310461,-73.51318513,-73.40391541,-71.20922377,-75.59860704,-72.34871063,-69.006165,-75.69125626,0.12,1.958863616,3.70533638,0.212390852,3.738609645,7.606554625,-0.129335335,3.258799052,6.767471964,-0.24987386,-70.8,-82.2,-85.9,35.1,27.3,11.9,105.9,109.5,97.8,1.155,0.906,1.85,306.2,379.8,216.2,-134.4,-175.3,-75.3,3.057,3.646,4.166
0.14,-48.51698134,-45.18308238,-51.85088029,-49.10068385,-47.02724595,-51.17412175,-54.33761749,-51.59041947,-57.08481551,0.14,-70.90187751,-68.65522549,-73.14852953,-72.99701436,-70.85077115,-75.14325758,-72.22664032,-69.09833702,-75.35494362,0.14,0.189030775,1.987565446,-1.609503896,6.751861728,9.108350085,4.39537337,6.811863871,10.58250608,3.041221662,-65.4,-78.5,-77.2,24,32,26.3,89.4,110.5,103.5,1.427,1.121,1.653,222.8,403.5,262.1,-94.2,-139.3,-81,3.397,5.287,
0.16,-45.36349826,-41.68820046,-49.03879607,-45.81156709,-43.08247959,-48.5406546,-51.56051788,-48.51328041,-54.60775536,0.16,-70.93578593,-68.65275257,-73.21881928,-72.86138068,-70.71658013,-75.00618124,-71.92146454,-68.59879162,-75.24413746,0.16,0.988122547,2.577251679,-0.601006585,8.40609573,10.055538,6.756653458,9.251767755,13.50111219,5.002423319,-75,-77.8,-81.5,36.7,6.706,22.6,111.7,84.506,104.1,1.325,2.117,1.404,315.1,186,257.4,-107.3,-58.5,-107.4,,4.619,
0.18,-41.80311415,-37.7986847,-45.8075436,-42.01382404,-38.45541459,-45.57223349,-48.69186554,-45.32392979,-52.05980129,0.18,-70.93578593,-68.70771056,-73.1638613,-72.25102954,-70.06506063,-74.43699846,-71.46370087,-67.99430829,-74.93309344,0.18,3.513897278,5.822169844,1.205624712,7.579593526,9.786842509,5.372344543,7.793406804,13.27730905,2.309504553,,-68.8,-78.6,,26.4,7.5,,95.2,86.1,,2.174,1.63,,216.4,169.6,,-59.1,-77.1,,1.823,
0.2,-38.17491319,-33.86916862,-42.48065777,-38.38562308,-34.02203715,-42.74920902,-45.21286163,-41.47556675,-48.95015652,0.2,-70.93578551,-68.79076129,-73.08080972,-72.69183858,-70.60027962,-74.78339754,-71.76887665,-68.24688974,-75.29086355,0.2,4.720428732,7.03369424,2.407163223,7.35247524,9.916387739,4.788562741,6.732762679,12.11675066,1.348774701,,,,,,,,,,,,,,,,,,,,4.883,
0.22,-34.47889519,-29.59348248,-39.3643079,-34.68960518,-29.61153768,-39.76767269,-41.58126984,-37.15880008,-46.00373959,0.22,-70.90187751,-68.61526272,-73.1884923,-72.72574743,-70.56416403,-74.88733083,-71.46370087,-67.9303299,-74.99707184,0.22,4.988616625,6.993154448,2.984078803,9.733603795,12.35230699,7.114900603,9.006055663,13.85582508,4.156286244,,,,,,,,,,,,,,,,,,,,3.702,
0.24,-30.07080078,-24.81348176,-35.3281198,-30.45105267,-24.73199823,-36.1701071,-37.40036144,-32.39539745,-42.40532544,0.24,-70.49497604,-68.32584838,-72.66410371,-72.42057165,-70.17001289,-74.6711304,-71.18904266,-67.59849608,-74.77958924,0.24,6.229821788,8.729421496,3.73022208,11.37912487,14.38599345,8.372256285,11.62893808,16.56256721,6.695308947,,,,,,,,,,,,,,,,,,,,,
0.26,-25.96788194,-20.36690615,-31.56885774,-26.28031702,-20.14009727,-32.42053676,-32.975313,-27.37581202,-38.57481397,0.26,-70.63061015,-68.62475497,-72.63646532,-72.14930428,-69.90096517,-74.39764339,-70.67024384,-66.89751141,-74.44297626,0.26,7.844829546,10.46347029,5.226188803,10.18112302,14.18792796,6.174318077,11.83382314,16.79352919,6.874117094,,,,,,,,,,,,,,,,,,,,,
0.28,-21.52587891,-15.37561961,-27.67613822,-22.82165795,-16.35454789,-29.288768,-28.67233448,-22.60911706,-34.7355519,0.28,-70.39325121,-68.21710093,-72.56940149,-72.11539544,-70.06767774,-74.16311314,-70.82283173,-67.10809868,-74.53756477,0.28,7.592818075,9.587632633,5.598003517,9.925850617,14.16541961,5.686281622,11.99689648,16.74696959,7.246823374,,,,,,,,,,,,,,,,,,,,,
0.3,-16.71088327,-10.328679,-23.09308754,-19.15954865,-12.4236117,-25.89548561,-24.79660206,-18.27495796,-31.31824615,0.3,-70.12198385,-67.97416078,-72.26980691,-71.97976176,-69.87888439,-74.08063913,-70.63972626,-67.0113063,-74.26814621,0.3,6.384620741,8.090833677,4.678407805,14.49589849,18.31627832,10.67551866,15.9480777,21.11394004,10.78221537,,,,,,,,,,,,,,,,,,,,,
0.32,-12.5740562,-5.996826587,-19.15128582,-15.15835497,-8.385282946,-21.931427,-20.06637726,-13.07878261,-27.05397191,0.32,-70.32543437,-68.23609141,-72.41477732,-71.40331862,-69.32310932,-73.48352791,-69.907304,-65.99265918,-73.82194882,0.32,6.983400183,9.289154506,4.677645859,20.40604825,26.41200275,14.40009375,20.8720747,27.17789219,14.56625721,,,,,,,,,,,,,,,,,,,,,
0.34,-8.132052941,-1.502309961,-14.76179592,-11.12325297,-4.474281604,-17.77222435,-16.28219748,-9.440954709,-23.12344024,0.34,-69.95244175,-67.83686965,-72.06801384,-70.72515106,-68.31664873,-73.13365339,-69.20540009,-65.17185908,-73.23894109,0.34,9.146586233,11.89585864,6.397313826,20.82691505,28.29326999,13.36056011,20.73117968,28.27502453,13.18733484,,,,,,,,,,,,,,,,,,,,,
0.36,-4.232584582,2.55625488,-11.02142405,-7.834136347,-1.228528707,-14.43974399,-12.43698225,-5.614199119,-19.25976538,0.36,-69.91853333,-67.90514,-71.93192665,-70.69124222,-68.36731732,-73.01516712,-69.35798759,-65.20253288,-73.51344231,0.36,11.81994801,14.22288913,9.417006885,17.59194668,23.08876843,12.09512493,17.24479976,25.51546705,8.974132461,,,,,,,,,,,,,,,,,,,,,
0.38,-0.672200415,6.148551351,-7.492952181,-4.443294624,1.919199516,-10.80578877,-8.77487292,-1.876858604,-15.67288724,0.38,-69.27427334,-67.28627417,-71.26227252,-70.96251,-68.53076216,-73.39425785,-69.02229424,-64.76775384,-73.27683463,0.38,14.65035703,17.24945558,12.05125849,18.56445795,22.9497664,14.17914949,16.4875505,24.53584042,8.439260585,,,,,,,,,,,,,,,,,,,,,
0.4,3.02381738,9.677653915,-3.630019155,-0.4760092,5.617745034,-6.569763434,-5.478974527,1.230856032,-12.18880509,0.4,-68.79955546,-66.67755797,-70.92155295,-70.38606686,-67.97686461,-72.79526911,-68.47297783,-64.22180556,-72.7241501,0.4,16.84005944,19.83538735,13.84473153,24.12711361,29.19906727,19.05515995,18.46565235,25.73691099,11.1943937,,,,,,,,,,,,,,,,,,,,,
0.42,6.177300453,12.77689602,-0.422295114,2.575748603,8.477894746,-3.326397541,-2.732392484,3.706523317,-9.171308285,0.42,-68.96909756,-67.0918297,-70.84636542,-69.36881468,-66.91475771,-71.82287165,-68.13728447,-63.72702084,-72.5475481,0.42,19.2635409,22.06848181,16.4586,28.11685207,34.98613608,21.24756806,19.78022194,26.67871312,12.88173075,,,,,,,,,,,,,,,,,,,,,
0.44,9.3307835,15.92509652,2.736470475,5.254513847,10.87680982,-0.367782129,0.441435385,6.850251616,-5.967380847,0.44,-68.42656284,-66.40613782,-70.44698786,-69.02973048,-66.44715747,-71.61230349,-67.71003838,-63.23844437,-72.18163238,0.44,22.15873792,25.31333572,19.00414013,28.15609042,35.93574212,20.37643872,19.55684586,26.65513801,12.4585537,,,,,,,,,,,,,,,,,,,,,
0.46,12.14518232,18.33200071,5.958363941,8.068912745,13.34895829,2.788867197,2.821806479,8.839423523,-3.195810566,0.46,-67.6805776,-65.69145972,-69.66969548,-68.75846312,-66.17321739,-71.34370884,-67.43538017,-62.80218425,-72.06857609,0.46,24.24345832,27.84510656,20.64181009,28.08806578,37.03567359,19.14045798,20.49986519,27.95839091,13.04133946,,,,,,,,,,,,,,,,,,,,,
0.48,14.17968746,20.30964876,8.04972617,10.88331149,15.81203317,5.954589808,5.171659851,10.91311549,-0.569795788,0.48,-67.5110355,-65.73940624,-69.28266475,-68.01247787,-65.27737711,-70.74757864,-67.00813408,-62.32816472,-71.68810344,0.48,26.64234055,30.90614326,22.37853785,31.60034566,42.54097196,20.65971937,25.40333323,33.87044061,16.93622586,,,,,,,,,,,,,,,,,,,,,
0.5,16.45155165,22.34126004,10.56184326,12.61264088,17.14165865,8.083623122,7.399443054,13.09150943,1.70737668,0.5,-66.83286709,-64.91429622,-68.75143796,-67.43603473,-64.51106241,-70.36100705,-66.06208916,-61.19237765,-70.93180066,0.5,29.84699313,35.06414258,24.62984368,38.70172585,50.56030788,26.84314383,31.66999837,41.59324016,21.74675658,,,,,,,,,,,,,,,,,,,,,
0.52,18.35042334,23.99008888,12.71075779,14.71496295,18.92125216,10.50867373,8.589628613,13.78972428,3.38953295,0.52,-66.25642395,-64.45108736,-68.06176054,-66.82568317,-63.82203869,-69.82932765,-65.75691338,-60.76307189,-70.75075486,0.52,32.80119811,39.05626829,26.54612794,47.0770945,59.10846775,35.04572125,36.67489579,46.72023908,26.62955249,,,,,,,,,,,,,,,,,,,,,
0.54,19.67285173,25.17689128,14.16881219,16.24084185,20.25425218,12.22743153,11.09206975,16.00583838,6.178301109,0.54,-65.37480503,-63.65471422,-67.09489583,-65.91015583,-62.6473738,-69.17293785,-64.53621025,-59.32999267,-69.74242783,0.54,36.16015169,43.13887459,29.18142879,52.78775332,65.39106023,40.18444641,40.27710037,49.57895047,30.97525028,,,,,,,,,,,,,,,,,,,,,
0.56,21.16482222,26.42395866,15.90568578,17.6649955,21.26133896,14.06865204,12.2822553,16.83184718,7.732663427,0.56,-64.69663662,-62.88229588,-66.51097737,-64.92681164,-61.4554608,-68.39816249,-63.46809502,-58.00352922,-68.93266081,0.56,39.96377436,47.28196539,32.64558334,53.14526622,66.03348804,40.25704439,40.89471222,50.32469638,31.46472807,,,,,,,,,,,,,,,,,,,,,
0.58,22.18207484,27.32106208,17.04308759,19.02133232,22.25263094,15.79003369,13.25881779,17.68334664,8.834288946,0.58,-64.1541019,-62.4672655,-65.8409383,-63.87565062,-60.24626776,-67.50503347,-63.46809502,-57.99789811,-68.93829193,0.58,44.41710027,52.10460999,36.72959055,50.61024438,62.47094237,38.74954639,40.69083216,50.08458033,31.297084,,,,,,,,,,,,,,,,,,,,,
0.6,23.23323576,28.232086,18.23438551,19.73340898,22.87726873,16.58954924,14.41848585,18.61374003,10.22323167,0.6,-62.93339878,-61.23433622,-64.63246133,-63.16357379,-59.40297714,-66.92417045,-62.30842705,-56.70726968,-67.90958442,0.6,50.20224232,58.69439234,41.7100923,51.25676335,61.75911086,40.75441585,44.21316938,54.32443751,34.10190125,,,,,,,,,,,,,,,,,,,,,
0.62,24.01312941,28.71828509,19.30797374,20.14030992,23.0443216,17.23629823,15.33401321,19.13059599,11.53743043,0.62,-61.84832891,-60.08890367,-63.60775414,-62.62103907,-58.66636612,-66.57571203,-61.45393486,-55.6240869,-67.28378282,0.62,55.94249831,65.78161732,46.1033793,58.62390878,70.39463496,46.85318261,51.23858891,62.046257,40.43092081,,,,,,,,,,,,,,,,,,,,,
0.64,24.11485467,28.72687793,19.50283141,20.68284453,23.56568873,17.80000033,15.66970658,19.49161019,11.84780298,0.64,-60.86498515,-59.28937059,-62.4405997,-61.02734333,-56.77572167,-65.27896498,-60.08064384,-53.93194772,-66.22933997,0.64,61.77486398,73.16304851,50.38667946,69.9002872,84.8227024,54.97787201,58.75486593,69.36956411,48.14016775,,,,,,,,,,,,,,,,,,,,,
