Time_ms,Neuron_membrane_potential_mV
0,-60
0.01,-60
0.02,-59.99995776
0.03,-59.99995776
0.04,-59.99995776
0.05,-59.99995776
0.06,-59.99995776
0.07,-59.99995776
0.08,-59.99995776
0.09,-59.99995776
0.1,-59.99995776
0.11,-59.99995776
0.12,-59.99991581
0.13,-59.99987415
0.14,-59.99983276
0.15,-59.99979163
0.16,-59.99975077
0.17,-59.99971015
0.18,-59.99966978
0.19,-59.99962965
0.2,-59.99958974
0.21,-59.99955006
0.22,-59.99951059
0.23,-59.99947133
0.24,-59.99943228
0.25,-59.99939343
0.26,-59.99935477
0.27,-59.99931631
0.28,-59.99927803
0.29,-59.99923993
0.3,-59.99920201
0.31,-59.99916426
0.32,-59.99912668
0.33,-59.99908927
0.34,-59.99905202
0.35,-59.99901493
0.36,-59.998978
0.37,-59.99894122
0.38,-59.99890459
0.39,-59.99886812
0.4,-59.99883179
0.41,-59.9987956
0.42,-59.99875956
0.43,-59.99872366
0.44,-59.9986879
0.45,-59.99865227
0.46,-59.99861679
0.47,-59.99858143
0.48,-59.99854621
0.49,-59.99851111
0.5,-59.99847615
0.51,-59.99844131
0.52,-59.99840661
0.53,-59.99837202
0.54,-59.99833757
0.55,-59.99830323
0.56,-59.99826902
0.57,-59.99823493
0.58,-59.99820097
0.59,-59.99816712
0.6,-59.29813339
0.61,-58.60284063
0.62,-57.91226962
0.63,-57.22627727
0.64,-56.54472323
0.65,-55.86747217
0.66,-55.19439083
0.67,-54.52534532
0.68,-53.86019852
0.69,-53.19880759
0.7,-52.54102156
0.71,-51.88667892
0.72,-51.23560509
0.73,-50.58760983
0.74,-49.94248448
0.75,-49.2999991
0.76,-48.65989931
0.77,-48.02190298
0.78,-47.38569664
0.79,-46.75093165
0.8,-46.11722003
0.81,-45.48412998
0.82,-44.85118111
0.83,-44.21783926
0.84,-43.58351093
0.85,-42.9475373
0.86,-43.00918785
0.87,-43.0621284
0.88,-43.10525864
0.89,-43.13816472
0.9,-43.16048224
